region,date,mean,median,lower_90,upper_90,lower_50,upper_50
synthetic_data/bd.csv,60,1.0,1.0,1.0,1.0,1.0,1.0
synthetic_data/bd.csv,61,1.4094184259015163,1.3859608919476183,1.1562494655115312,1.665318386162154,1.2600623456841418,1.471951705137242
synthetic_data/bd.csv,62,1.4094186973340785,1.3859596703334096,1.156252440886333,1.6653175354896188,1.2600618254281815,1.4719562623945952
synthetic_data/bd.csv,63,1.409418670262476,1.3859692361848426,1.156244176824674,1.6653171425023905,1.2600615494879521,1.4719599473817109
synthetic_data/bd.csv,64,1.4094178486468747,1.385963746345777,1.1562424013799477,1.6653172725678036,1.2600618765330907,1.4719593731855327
synthetic_data/bd.csv,65,1.4094174018975028,1.3859702081309542,1.1562440776748635,1.665314747379336,1.2600619590151454,1.4719638358994325
synthetic_data/bd.csv,66,1.4094178055590865,1.385971126152805,1.1562489490767016,1.6653165249969593,1.2600618370021013,1.4719635428173445
synthetic_data/bd.csv,67,1.4094178778008442,1.3859603150532869,1.1562515489312775,1.6653181812487075,1.2600616513928808,1.4719627606332573
synthetic_data/bd.csv,68,1.4094172628079586,1.3859513204661233,1.1562492616231625,1.665318731023374,1.2600611557303527,1.471957709869647
synthetic_data/bd.csv,69,1.4094171354892955,1.3859464635514165,1.1562470586255422,1.6653150690723666,1.2600611974279445,1.4719617189528784
synthetic_data/bd.csv,70,1.409417351335661,1.3859395113346769,1.1562422905974932,1.6653141058646965,1.2600613323430214,1.4719608583506536
synthetic_data/bd.csv,71,1.409416891830797,1.3859526009109824,1.1562293165045558,1.6653172843395223,1.260061344467307,1.4719570926594507
synthetic_data/bd.csv,72,1.4094170901301941,1.3859461213992805,1.156223803852542,1.6653177213573556,1.260061682594966,1.4719518699896617
synthetic_data/bd.csv,73,1.4094173920267503,1.3859340303030123,1.1562204366127982,1.6653155372054882,1.2600616993858682,1.4719522166288597
synthetic_data/bd.csv,74,1.4094174622336653,1.3859465819073082,1.156223797814384,1.6653128747063564,1.2724428050188703,1.4843674419166706
synthetic_data/bd.csv,75,1.409417610354812,1.3859514337197179,1.1562263826818022,1.665314593955339,1.2724424757027941,1.484366720852616
synthetic_data/bd.csv,76,1.4094174316262156,1.3859392324400597,1.156228014059182,1.6653151780636413,1.2600621728174868,1.4719783918513016
synthetic_data/bd.csv,77,1.4094182952766314,1.3859489531323383,1.156231103617483,1.6653142891807675,1.2600625255766102,1.4719559729673721
synthetic_data/bd.csv,78,1.4094183768964175,1.3859486187449597,1.1562401166375913,1.6653161416036688,1.2600626497479208,1.4719524124917993
synthetic_data/bd.csv,79,1.4094187005672594,1.385941387351586,1.156239683953379,1.6653174263268364,1.2600623491000813,1.4719556658392277
synthetic_data/bd.csv,80,1.4094190185784499,1.3859413893938193,1.1562236447723395,1.6653175351730296,1.2600623047452761,1.4719546999871778
synthetic_data/bd.csv,81,1.409418958008118,1.3859421500606077,1.1562228299169202,1.665314196066145,1.2600626004399156,1.4719555078519264
synthetic_data/bd.csv,82,1.4094190670129274,1.385944603837319,1.1562234106010194,1.6653156599599221,1.26006266243023,1.4719514990630345
synthetic_data/bd.csv,83,1.4094194324064355,1.3859439549521855,1.1562220053142922,1.6653112549417555,1.2600626092219858,1.4719538864380954
synthetic_data/bd.csv,84,1.409419229548105,1.3859357207467857,1.156223796776135,1.6653090431435678,1.2600630365795953,1.4719590011337533
synthetic_data/bd.csv,85,1.409419541936506,1.3859412444773107,1.1562160735053137,1.665309455860054,1.260063013053998,1.4719669224499252
synthetic_data/bd.csv,86,1.4094196173671039,1.3859453416173808,1.1562132793640991,1.6653079776444073,1.2600633270056993,1.4719659406039436
synthetic_data/bd.csv,87,1.4094197811327212,1.3859513831364,1.1562102095964761,1.6653077094502153,1.2600633014400577,1.4719604650763114
synthetic_data/bd.csv,88,1.409420283812735,1.3859488996491311,1.1562149555364483,1.6653095196688108,1.2600630098840753,1.4719559282412804
synthetic_data/bd.csv,89,1.4094204860226007,1.3859471944647055,1.1562073412009113,1.6653137234600306,1.260062854579847,1.4719559476054298
synthetic_data/bd.csv,90,1.4094207978068554,1.3859561208659439,1.1562212030872678,1.6653136336790333,1.2600633522579214,1.4719564235268958
synthetic_data/bd.csv,91,1.4094216347238764,1.3859584722704539,1.1562173236816156,1.6653103816308654,1.2600631513807423,1.4719594369846325
synthetic_data/bd.csv,92,1.409421427782072,1.385951733435935,1.1562172089319442,1.6653085545088482,1.2600632903967923,1.4719612114487082
synthetic_data/bd.csv,93,1.409421613084369,1.3859433544469488,1.1562184359815681,1.6653084770188928,1.2600634337056413,1.4719598194389887
synthetic_data/bd.csv,94,1.409422223855405,1.3859410402812173,1.1562232389003158,1.6653088177686393,1.26006301723011,1.4719610890669594
synthetic_data/bd.csv,95,1.409422779106749,1.3859357855749102,1.1562204410908241,1.6653074896203985,1.260063095310925,1.4719580185427246
synthetic_data/bd.csv,96,1.409423043060374,1.3859381220685005,1.156210153320351,1.6653130668903056,1.260063921870268,1.471957627650443
synthetic_data/bd.csv,97,1.4094230672730825,1.38593942197905,1.156213115835135,1.6653116029217905,1.2600637772716725,1.4719513122502546
synthetic_data/bd.csv,98,1.4094237737490645,1.3859300401792505,1.1562161804633857,1.6653072458426421,1.260063709629688,1.471951868990622
synthetic_data/bd.csv,99,1.4094233784094021,1.3859145154252792,1.156212392812999,1.6653080922589578,1.2600635913323353,1.4719558496561385
synthetic_data/bd.csv,100,1.4094234845072662,1.3859036950789516,1.1562125048927114,1.6653102740723602,1.2600633882769834,1.4719533681323895
synthetic_data/bd.csv,101,1.409423035760009,1.385901962573264,1.1562172681238247,1.6653109415177845,1.2600629259488025,1.4719504527122347
synthetic_data/bd.csv,102,1.4094221167339558,1.385896493501031,1.1562216884222136,1.6653105559819807,1.2600627087583258,1.4719500189406254
synthetic_data/bd.csv,103,1.4094222017402172,1.3858895547013974,1.156222367901168,1.6653086948966596,1.2600634305479972,1.4719511254614779
synthetic_data/bd.csv,104,1.409422366990377,1.385890212771181,1.1562194449982006,1.6653061686208412,1.2600634592567785,1.4719570330169889
