,R_t_mean,R_t_low,R_t_high,I_t_mean,I_t_low,I_t_high
26,3.5,2.52,4.48,31.0,-inf,inf
27,3.448797248397857,2.015439094468959,4.751074319306339,908.344625,683.0,1121.0
28,3.3997653027608594,2.2248867284067435,4.514139383029589,1181.537,954.0,1389.0
29,3.2750452239377923,2.3569869129694654,4.251552868995858,1481.286375,1224.0,1721.0
30,2.5463014387020966,1.6890670362207658,3.4140695953509255,1563.53875,1325.0,1846.0
31,1.873575892726336,1.1334165845879078,2.6537888273033516,1484.348,1240.0,1719.0
32,1.6454292519288516,0.918844385072325,2.325662103251994,1504.516375,1297.0,1742.0
33,1.6603312415340827,0.9639025952482363,2.351260282424244,1615.202875,1365.0,1843.0
34,1.908272739513563,1.2237124236505508,2.568705286608253,1875.664375,1624.0,2139.0
35,1.7322074213525296,1.0407072791723118,2.3921137741089904,1991.5375,1714.0,2264.0
36,1.829874617415151,1.2019554528214518,2.488016141199199,2195.371875,1939.0,2482.0
37,2.0141766196777366,1.3696581344978838,2.642289171745686,2552.238625,2245.0,2845.0
38,1.6084658674352466,0.9483672366227557,2.229517849436014,2575.333625,2279.0,2876.0
39,1.7402368420304761,1.1524985722990715,2.4056109477497207,2797.9275,2495.0,3135.0
40,2.1612878723510986,1.5631614128325635,2.7575336917947624,3410.6305,3077.0,3783.0
41,2.0275757819573133,1.4344161145597218,2.561474591586081,3806.029,3446.0,4175.0
42,2.3194156140232,1.7573191967066364,2.8790737767665413,4528.387375,4111.0,4917.0
43,2.1747287664184487,1.6330815391177884,2.7082446742833057,5136.983375,4677.0,5539.0
44,1.530853507419048,0.9943820377511685,2.0465699811917784,5067.630875,4653.0,5502.0
45,1.542615383639011,1.0325943521411325,2.044812828618641,5287.8,4876.0,5718.0
46,1.8764207420563563,1.359439635234542,2.4356943508538533,6041.276875,5498.0,6481.0
47,1.9914440611995843,1.4867446775749489,2.454900144483101,6883.094875,6389.0,7376.0
48,1.7332394027231084,1.2533246770678854,2.1813759231724084,7319.759375,6844.0,7800.0
49,1.7758174195605547,1.291482039957319,2.228270064195691,7945.568125,7407.0,8500.0
50,2.0657948653873364,1.626671356531253,2.5097527464696308,9178.851125,8603.0,9712.0
51,1.8188935406955553,1.3732207351042687,2.286974887479965,9959.499125,9372.0,10553.0
52,1.6236267166656093,1.1903511160220677,2.0601861717461034,10477.151,9869.0,11107.0
53,1.8111426926903131,1.4188066271722053,2.2332398697608005,11580.865375,11024.0,12209.0
54,1.7043569697989078,1.2999983517505642,2.0955880710575183,12513.071,11927.0,13123.0
55,1.5689488973211647,1.1667158744651152,1.9802427209378812,13194.9775,12522.0,13886.0
56,1.5442240777572818,1.1628384539673586,1.936810032302616,13950.726125,13318.0,14630.0
57,1.658126568614755,1.2848737428393937,2.0242083884675983,15095.1515,14412.0,15757.0
58,1.6198761158250468,1.2208105990228493,1.982088234507089,16169.185375,15382.0,16932.0
59,1.9308134668628898,1.5994516592730668,2.287705106102074,18200.02175,17482.0,18892.0
60,1.7406467481036434,1.3930316311763424,2.0844566312041897,19690.4745,18952.0,20454.0
61,1.7364032040197794,1.3956979603438584,2.073064005397711,21302.095,20508.0,22078.0
62,1.66443518804388,1.3582714564980565,1.989319500591347,22885.59925,22157.0,23711.0
63,1.4326950163758632,1.1416944384559762,1.7387304939010844,23803.265,23042.0,24599.0
64,1.600743532547935,1.3004715108293858,1.9091273600595957,25520.697,24709.0,26439.0
65,1.5844344870629197,1.2870613565063398,1.8849765709056645,27281.209875,26462.0,28237.0
66,1.4308359820539531,1.168689424979612,1.7270037375419063,28451.652625,27645.0,29223.0
