,R_t_mean,R_t_std,I_t_mean,I_t_std
25,3.5,3.0,25.0,5.0
26,19.265963416547834,1.879979410759442,411.392,92.84161963257642
27,16.384627872180797,1.578611560196311,1280.594,124.97408196902269
28,8.282919193617374,2.1098515473378416,1372.558,235.19839845543166
29,4.765937069547369,1.4629582035554534,1694.69,132.59750337016155
30,0.5356837202684063,0.7239056153349391,1403.474,115.47388156635249
31,0.4128345284150231,0.6014462417740715,1269.226,117.85191947524656
32,0.603944377999211,0.5236838564971029,1238.122,81.25778187964522
33,0.8368962593288263,0.44413610418598964,1271.772,89.78881899212173
34,1.1912965382811511,0.4073762281358273,1394.688,101.50500803408667
35,1.3731587576251083,0.33215455050237364,1568.222,96.07166448022018
36,1.397399942511147,0.3193665595327363,1678.688,126.90613324816103
37,1.4254862947603144,0.31289893799880714,1815.046,135.28714604129988
38,1.764921846165274,0.28156369680161175,2297.76,123.925955312033
39,1.6172068948834795,0.319498442536238,2405.714,102.89470445071505
40,1.5818398977732226,0.3187234688673996,2582.606,118.42519480245747
41,1.6072630657891869,0.3622549649443414,2812.62,148.23926470405877
42,1.9425127973822365,0.2852306272860253,3313.624,141.5924666922644
43,1.8320890904144589,0.2581806305130891,3653.942,193.32706648578724
44,1.870501004970305,0.27052929349731397,4189.524,140.8191656842207
45,1.8283449427539757,0.2428464815612405,4670.124,160.82942710834982
46,1.5878575393000165,0.2029039861880663,4861.906,159.45705742926526
47,1.4929971248567442,0.20376251998027828,5162.28,171.90227921700168
48,1.3444821708262529,0.21188074107000146,5203.354,198.89297796553805
49,1.3308591052326322,0.18560106561499154,5442.17,164.48895738012325
50,1.3672327382665799,0.2028389215890064,5805.23,183.65301277136732
51,1.254868393233821,0.1877472772786844,5927.396,164.66179637062143
52,1.3291459089449362,0.1987613092603877,6295.072,243.20277715519615
53,1.4831677847552471,0.18137980531651685,7051.552,223.5329132275603
54,1.4065717451522004,0.18960283034917547,7321.416,243.92013230563813
55,1.460522831354002,0.16489098634047988,7913.254,171.63225071064005
56,1.52181411122382,0.1355288353557133,8531.134,148.9562890380933
57,1.4724801669261196,0.12013772599840439,9016.752,218.04829395342676
58,1.398722488618647,0.10867576264661485,9367.188,198.3905357016811
59,1.4439976031856017,0.10843897407621605,10039.338,198.522451516195
60,1.37319389642932,0.13650763381772066,10289.548,255.2069820674975
61,1.3259516840346095,0.12777082448954366,10624.998,260.72909694930485
62,1.3167752717888435,0.146815472057004,11059.614,261.7515253136073
63,1.2778569407799314,0.13919100370239434,11336.716,221.4849686637899
64,1.1524733965919192,0.1389534882446958,11344.026,281.2827071186567
65,1.1430331582237043,0.15327558860622087,11513.51,288.96647193056845
66,1.1629165439395233,0.14342740246472296,11843.942,233.41549784879322
67,1.137462975053642,0.12675678864530585,11989.418,230.39191668980055
68,1.1338556240579216,0.122514746723308,12201.7,257.8458725673149
69,1.2354081838532565,0.11050946381620655,12815.8,242.2780386250475
70,1.1878125154845625,0.09992301562669766,13020.2,257.5857760048097
71,1.1899253943117647,0.1008312017167479,13276.404,188.68137370710443
72,1.2454795721253067,0.10529020407826102,13852.9,239.9140471085426
73,1.2365715904240646,0.0993864127035088,14258.876,251.90037043243902
74,1.193579240398993,0.09240323690046225,14504.798,225.1968321180385
75,1.233550782600612,0.08909611023605998,15113.646,243.37308126413652
76,1.2556857984446865,0.08610814364019467,15713.974,238.4321398721238
77,1.2348654336697882,0.0918500437452092,16155.594,263.51023730398026
78,1.2303176509670282,0.10128515080477644,16749.322,250.39916596506467
79,1.3217647434290325,0.09260898396929032,17794.434,267.5976861708636
80,1.3731590384456118,0.09657931164421792,18922.46,275.09695091003823
81,1.2981691835794222,0.09526977237155948,19396.398,216.93133382708916
82,1.3583910610206955,0.08944250312954247,20452.77,293.5300684768087
83,1.3229771383798747,0.08910389074908338,21255.424,250.53248137517022
84,1.2540982500553741,0.10324782675638666,21739.026,323.82246574936704
85,1.252418087713931,0.10051682600095817,22410.232,366.0261277231449
86,1.2105168828234678,0.10168844063888365,22999.646,282.6132634608645
87,1.201072493372425,0.09628958460209794,23649.51,347.49794517378086
88,1.2402314007250919,0.10146037177620756,24536.364,328.6271131601895
89,1.2091119581488583,0.08493518833992375,25137.536,263.68590539503623
90,1.2638086826936201,0.08204461101535952,26189.042,286.28473978890315
91,1.3065395749839204,0.08038337119911215,27470.312,293.8864043401804
92,1.2255988523066172,0.07978836366866357,28062.91,343.90426269530303
93,1.2703949584232033,0.07674497799594013,29299.982,315.09191306030056
94,1.2308586776060018,0.08424579187120923,30152.242,319.08161876861533
95,1.174142833054518,0.08204085978874663,30660.706,416.54205977788126
96,1.1564580585530826,0.07771342925414682,31113.112,297.00047719826983
97,1.1246981493011898,0.07129823853055492,31574.996,327.6481527248399
98,1.209116370321545,0.07844868309902794,32831.528,366.3259221185419
99,1.1896726208470736,0.07286814014715554,33591.59,331.2620562334298
100,1.2059904878012755,0.06595358654256277,34545.694,315.6043541588107
101,1.1802701363761279,0.06832659775470028,35289.228,337.8848383932017
102,1.1799942592175348,0.06263131690767794,36204.27,280.3373630110692
103,1.147314374348568,0.0698332587591885,36798.358,386.2733511854008
104,1.1619190963330979,0.07577490893608395,37666.512,401.23895854714806
